survey,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
forestera,10,10,4,6,2,5,3,10,3,10,8,8,4,6,7,7,3,2,2,10,1,2,5,1,3,3,8,2,7,10,6,9,9,2,5,4,4,1,3,7,3,9,10,3,8,NA,NA,NA,NA,NA,7,6,5,4,2,3,1,NA,NA,NA
fremantle,9,8,5,9,1,8,4,5,3,4,2,2,10,6,3,6,11,7,4,10,7,4,2,6,9,4,5,1,3,7,6,8,8,6,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,4,5,6,NA,NA,NA,NA
gbr,4,2,3,2,2,1,2,3,7,2,1,7,2,5,7,3,6,6,5,5,4,4,5,7,3,1,6,5,1,5,6,3,3,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,1,6,5,2,3,NA,NA,NA
swiss_health,7,1,2,7,5,6,7,6,4,5,6,6,1,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,6,1,2,NA,NA,NA,NA
uppsala_speaks,5,5,4,6,4,4,1,4,3,2,1,5,7,2,3,2,2,4,5,1,5,6,4,7,6,4,7,2,5,2,5,6,2,2,4,7,5,5,4,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,7,1,4,5,NA,NA,NA
valsamoggia,7,7,8,5,6,4,5,1,1,8,8,3,4,1,4,5,4,7,3,4,10,6,4,6,7,3,3,9,10,10,7,6,4,2,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,4,NA,NA,NA,NA,NA,NA
zh_thalwil,1,3,5,3,5,7,2,4,3,4,3,3,1,1,4,6,6,6,3,4,7,3,6,1,2,6,3,1,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,4,2,3,7,1,NA,NA,NA
zh_uster,5,6,4,2,3,2,2,4,4,3,5,4,7,7,5,4,4,1,7,7,3,7,3,7,4,3,2,2,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,5,7,6,2,NA,NA,NA
zh_winterthur,5,7,3,6,2,4,1,4,4,6,2,6,1,2,2,3,5,6,2,7,6,5,1,2,3,7,5,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,3,2,6,NA,NA,NA,NA
zukunft,6,2,4,4,5,5,3,2,1,7,2,4,1,1,2,3,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,5,6,3,7,NA,NA,NA
