cuid,created_at,provider,model,survey,temperature,input_tokens,output_tokens,prompt_uid,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,R,C39
8c439655-43b3-4183-830a-94e5b304576e,2025-09-30T12:29:31Z,anthropic,claude-sonnet-4-5-20250929,ccps,0,3509,224,NA,1,4,2,9,4,2,6,9,10,1,2,6,2,5,10,8,5,9,11,5,2,3,3,3,10,9,4,2,6,9,2,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,1,5,4,2,3,NA,NA,NA,Prioritize aggressive emissions cuts and community action over economic growth and status quo,NA
94ef97c0-7238-4ba6-8784-0613ec457de1,2025-09-30T12:54:35Z,anthropic,claude-sonnet-4-5-20250929,ccps,0,3509,227,NA,2,4,2,9,3,3,6,10,10,2,3,5,3,5,10,8,6,9,10,6,2,3,4,4,9,8,5,2,7,8,2,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,1,3,5,2,4,NA,NA,NA,Strong climate action needed now with dramatic cuts prioritizing community solutions over economic growth and inaction,NA
27b59c31-53da-4023-828e-7ee5e71b1660,2025-09-30T10:38:16Z,openai,gpt-5,ccps,1,3221,3954,NA,1,4,2,10,3,1,5,10,11,1,2,6,2,3,10,9,7,9,11,3,2,2,3,2,10,9,4,2,5,9,2,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,1,2,3,5,4,NA,NA,NA,"Prefer feasible cuts plus adaptation and resilience, reject growth focus, status quo, small programs",NA
bc88ea29-923b-4166-a78b-62fc69e595c4,2025-09-30T10:39:03Z,openai,gpt-5,ccps,1,3221,5551,NA,1,3,2,10,2,1,7,10,11,1,2,7,2,2,11,10,8,10,11,4,2,2,3,3,10,9,4,2,5,9,1,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,1,2,3,4,5,NA,NA,NA,Support strong cuts then community and infrastructure adaptation oppose growth first and inaction,NA
787d3c37-2424-4551-aaa9-6a5a0d8873f6,2025-09-30T10:40:19Z,openai,gpt-5,ccps,1,3221,4465,NA,1,3,1,10,3,1,6,11,11,1,1,7,1,2,11,10,8,10,11,4,2,2,3,1,11,10,3,2,4,10,1,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,1,4,2,5,3,NA,NA,NA,"Prioritize deep emissions cuts and resilience support adaptation, oppose status quo and growth first",NA
9e6d5ca6-3ecc-408e-a431-df7a23c87e38,2025-09-30T10:41:23Z,openai,gpt-5,ccps,1,3221,4463,NA,1,4,2,10,3,1,7,11,11,1,2,7,2,2,10,10,8,10,11,4,3,3,3,2,10,10,4,3,4,10,2,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,1,2,3,6,4,NA,NA,NA,Deep cuts first with large scale adaptation and resilience oppose status quo and growth,NA
dac7165b-c61b-40fd-aefc-a92124ee0751,2025-09-30T10:42:21Z,openai,gpt-5,ccps,1,3221,4913,NA,1,3,1,10,2,1,7,11,11,1,1,8,2,2,11,10,8,10,11,3,1,1,2,2,10,10,3,1,3,10,1,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,1,2,3,5,4,NA,NA,NA,"Back deep then moderate emissions cuts plus adaptation, reject status quo and growth over climate",NA
16c5f3ef-7f15-44e9-916d-2c5f2c873b22,2025-09-30T12:20:13Z,xai,grok-4-fast-non-reasoning,ccps,0,3581,212,NA,1,5,2,9,6,2,3,9,10,1,4,4,3,6,10,8,7,8,11,6,5,4,5,3,10,8,7,2,8,9,4,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2,5,1,3,4,NA,NA,NA,Prioritize adaptation and moderate cuts; oppose growth focus and status quo.,NA
01f74f32-a05c-4779-9196-81eea177eec5,2025-09-30T12:20:21Z,xai,grok-4-fast-non-reasoning,ccps,0,3581,212,NA,1,6,3,9,5,2,3,9,10,1,4,5,3,5,10,8,7,9,11,7,4,4,6,5,9,7,6,2,8,8,3,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,1,3,6,4,2,NA,NA,NA,"Strong mitigation first, then adaptation; oppose status quo and growth priority.",NA
61f4fab6-1e3e-44f2-aa0d-31c640ca0ddf,2025-09-30T12:20:25Z,xai,grok-4-fast-non-reasoning,ccps,0,3581,212,NA,1,5,1,9,6,1,5,10,11,1,3,6,2,4,11,11,7,10,11,8,3,2,4,3,10,10,7,2,8,9,2,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,6,2,4,5,3,NA,NA,NA,Prioritize strong emission cuts and adaptation over status quo or growth focus.,NA
614a1799-3660-48f6-b04c-228d6919820f,2025-09-30T12:20:29Z,xai,grok-4-fast-non-reasoning,ccps,0,3581,220,NA,2,4,2,9,6,2,4,10,10,1,3,5,2,5,10,9,7,9,10,8,4,4,2,3,10,8,6,3,7,8,3,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,1,6,3,5,2,NA,NA,NA,"Strong support for aggressive emission cuts to mitigate climate change, then adaptation, least for status quo or growth priority.",NA
a7de547d-ef42-495e-a1a5-3135f0c842c2,2025-09-30T12:20:35Z,xai,grok-4-fast-non-reasoning,ccps,0,3581,212,NA,1,5,2,8,7,1,6,9,11,1,3,7,2,5,11,8,8,10,11,4,5,4,3,4,10,9,6,2,7,9,3,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,1,4,3,7,2,NA,NA,NA,"Prioritize strong emission cuts for mitigation, then adaptation tech and policies.",NA
44072a2a-cd90-4bd5-993a-05f20b21cbd5,2025-09-30T12:33:09Z,anthropic,claude-sonnet-4-5-20250929,energy_futures,0,4974,303,NA,6,6,8,6,10,5,8,4,8,6,7,4,2,9,10,3,6,4,7,5,5,5,8,9,6,8,6,3,5,3,2,9,7,7,3,8,4,7,6,4,6,4,7,10,NA,NA,NA,NA,NA,3,4,5,2,6,8,1,7,9,NA,Prioritized renewables over fossil fuels due to climate concerns while valuing reliability and proven technology over experimental options.,4
83343694-3568-465d-9864-7093bfa1e93d,2025-09-30T12:33:19Z,anthropic,claude-sonnet-4-5-20250929,energy_futures,0,4974,299,NA,6,8,8,6,10,5,8,3,8,5,7,4,2,9,10,3,6,4,7,7,5,5,8,9,6,9,7,3,4,3,1,9,7,7,2,7,4,6,7,5,5,3,7,10,NA,NA,NA,NA,NA,3,4,6,2,5,8,1,7,9,NA,Prioritize proven renewables and conservation over fossil fuels due to climate urgency and cost trends,4
364cf7f9-03c4-466f-b69f-86577aa62e31,2025-09-30T12:33:30Z,anthropic,claude-sonnet-4-5-20250929,energy_futures,0,4974,299,NA,6,7,8,6,10,5,8,3,8,5,7,3,2,9,10,3,7,4,8,6,5,6,8,9,7,9,6,3,6,2,1,9,7,7,2,8,4,7,7,4,5,4,7,9,NA,NA,NA,NA,NA,2,6,5,3,7,8,1,4,9,NA,Prioritize proven renewables and conservation over fossil fuels while supporting diverse clean energy mix for sustainability,4
aa4863d8-c4ff-49dd-86bf-2751ce52a236,2025-09-30T12:56:54Z,anthropic,claude-sonnet-4-5-20250929,energy_futures,0,4974,308,NA,6,8,9,5,10,4,8,5,8,5,7,3,2,9,10,2,8,3,8,4,4,6,7,10,7,7,7,2,6,2,1,9,7,7,2,8,3,7,6,4,5,3,6,10,NA,NA,NA,NA,NA,5,7,8,1,6,2,3,4,9,NA,Prioritize proven renewables and low-carbon sources while phasing out coal due to climate urgency and cost-effectiveness of clean energy.,4
49925e13-dee8-491a-be8e-f1815767b0a3,2025-09-30T12:57:05Z,anthropic,claude-sonnet-4-5-20250929,energy_futures,0,4974,302,NA,6,6,8,5,10,6,8,4,8,6,7,4,2,8,9,3,6,3,7,5,6,7,8,9,6,9,6,3,5,3,1,9,7,7,2,8,4,7,7,4,4,3,7,9,NA,NA,NA,NA,NA,2,6,5,1,7,3,8,4,9,NA,Prioritized renewables and low-carbon sources over fossil fuels due to climate urgency and sustainability concerns.,5
3a2ec3cd-ecdf-4b37-bb21-31a09fcf9ac9,2025-09-30T11:34:27Z,openai,gpt-5,energy_futures,1,4526,7096,NA,7,7,9,4,11,4,9,6,8,2,4,2,1,10,10,1,7,4,8,4,2,5,8,9,5,10,7,2,3,2,1,11,7,7,3,6,2,3,6,2,3,1,4,11,NA,NA,NA,NA,NA,2,7,8,3,6,5,1,4,9,NA,Prefer nuclear wind hydro for low-carbon reliability; coal mid; skeptical of biomass CCS gas,3
46194503-72cd-4e88-9df6-cd36fe9125c9,2025-09-30T11:36:10Z,openai,gpt-5,energy_futures,1,4526,6074,NA,3,8,9,4,11,4,9,4,8,2,5,2,1,9,10,1,8,6,8,3,2,4,9,10,7,10,7,1,3,2,1,10,7,8,2,6,1,3,5,2,3,1,5,11,NA,NA,NA,NA,NA,1,6,3,9,7,8,5,4,2,NA,Prioritize clean renewables; support safe nuclear; gas as bridge; CCS limited; coal last,3
52bf9481-a42c-4ae1-bfa2-424f1f4cda7d,2025-09-30T11:37:49Z,openai,gpt-5,energy_futures,1,4526,6520,NA,6,8,9,4,11,4,9,6,8,2,4,3,1,9,10,1,8,5,8,3,2,7,8,9,7,9,6,2,3,1,1,10,7,8,3,7,2,3,4,2,2,1,4,11,NA,NA,NA,NA,NA,2,6,8,3,7,5,1,4,9,NA,Favor solar wind hydro then nuclear and geothermal limited for biomass and gas oppose coal and CCS,3
866c2ddf-68e4-4177-a877-9cbea9f0ddf7,2025-09-30T11:39:17Z,openai,gpt-5,energy_futures,1,4526,7417,NA,4,8,9,7,11,5,9,6,8,3,3,2,1,10,10,1,7,3,7,7,2,5,8,10,7,10,7,2,2,2,1,10,8,9,3,7,2,3,4,2,3,2,4,11,NA,NA,NA,NA,NA,2,7,8,3,6,4,1,5,9,NA,Back solar wind hydro geothermal on climate and cost then nuclear gas biomass low coal and CCS last,3
284762f5-694e-4aa1-b753-a7cd1c6ce05e,2025-09-30T11:41:03Z,openai,gpt-5,energy_futures,1,4526,6009,NA,4,7,8,4,10,3,9,6,7,3,6,2,1,9,10,1,7,4,8,5,3,8,8,9,7,10,7,2,4,2,1,10,7,8,3,7,2,3,8,3,4,2,4,10,NA,NA,NA,NA,NA,9,6,1,2,5,7,8,4,3,NA,Prefer wind solar hydro; nuclear and gas as bridges; skeptical of CCS; coal last.,3
82c059c1-c175-4cd5-abca-5983949e419c,2025-09-30T12:22:31Z,xai,grok-4-fast-non-reasoning,energy_futures,0,4847,285,NA,6,8,9,7,9,5,6,6,8,6,8,4,2,8,9,4,8,6,8,7,6,7,8,9,6,8,5,3,7,7,1,9,7,6,3,9,5,7,7,4,6,3,7,8,NA,NA,NA,NA,NA,4,5,8,1,2,7,3,6,9,NA,"Prioritize renewables for sustainability, then gas and nuclear; coal last due to emissions.",5
aa8e88fd-277b-490d-bf5d-b25ffbc50ff0,2025-09-30T12:22:35Z,xai,grok-4-fast-non-reasoning,energy_futures,0,4847,284,NA,4,8,8,6,9,5,6,6,7,6,7,3,2,8,9,5,8,5,7,6,5,7,8,9,4,8,4,3,7,7,2,9,7,7,3,8,4,6,7,3,4,5,7,9,NA,NA,NA,NA,NA,1,6,3,4,5,8,2,7,9,NA,"Favor renewables for sustainability, coal last due to emissions, nuclear mid for risks.",5
b08fea60-10db-4136-88ce-26bdf56bf20b,2025-09-30T12:22:44Z,xai,grok-4-fast-non-reasoning,energy_futures,0,4847,283,NA,5,6,9,5,9,3,8,4,8,5,7,4,3,8,9,5,7,7,8,6,7,8,9,9,6,8,6,3,7,7,2,9,7,7,4,9,5,8,7,6,5,6,8,9,NA,NA,NA,NA,NA,6,4,3,7,5,8,1,2,9,NA,"Favor renewables for sustainability, nuclear as bridge, coal least due to emissions.",6
d250aeb6-6a0c-492d-983a-82f4f44329f6,2025-09-30T12:22:49Z,xai,grok-4-fast-non-reasoning,energy_futures,0,4847,285,NA,6,9,9,7,9,5,7,5,8,6,7,4,2,8,9,4,8,6,7,8,5,6,8,9,6,8,5,3,7,5,1,9,8,7,3,9,5,6,6,4,6,5,7,9,NA,NA,NA,NA,NA,1,4,8,6,5,7,3,2,9,NA,"Prioritize renewables for sustainability, then nuclear, gas; minimize coal due to emissions.",4
e11f3f0f-4e72-4113-aaf5-683fb3eaa77a,2025-09-30T12:22:54Z,xai,grok-4-fast-non-reasoning,energy_futures,0,4847,285,NA,6,7,9,5,9,4,8,5,7,7,7,4,2,8,9,6,8,8,8,5,7,7,8,9,6,8,7,3,8,9,1,9,7,5,4,9,7,8,6,6,7,6,7,9,NA,NA,NA,NA,NA,1,6,2,4,7,5,8,3,9,NA,"Prioritize renewables for sustainability, then low-emission fossils and nuclear over polluting coal.",6
85559208-9f7b-4eb2-ae19-72a1f288727b,2025-09-30T12:27:54Z,anthropic,claude-sonnet-4-5-20250929,fnqcj,0,4790,268,NA,4,6,5,7,6,7,7,5,5,8,3,8,6,3,6,8,7,7,7,7,4,6,4,10,2,3,4,3,2,5,8,4,9,6,6,4,6,5,10,2,6,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,3,2,NA,NA,NA,NA,NA,Stabilizing trouble spots balances environmental protection with access while minimizing further development impact on the Daintree.,5
9a4a5469-f5a9-40b7-a69c-84c26a8a2ec7,2025-09-30T12:28:05Z,anthropic,claude-sonnet-4-5-20250929,fnqcj,0,4790,260,NA,3,6,5,8,7,8,7,4,3,9,1,8,6,1,4,8,7,6,7,8,3,8,2,11,2,2,3,2,2,4,9,3,9,5,5,2,6,4,11,2,3,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,3,1,NA,NA,NA,NA,NA,Prioritize environmental protection and rehabilitation while allowing limited stabilized access over development options,7
2d619789-ca7d-43b8-8cce-ebf53ffc111b,2025-09-30T12:28:15Z,anthropic,claude-sonnet-4-5-20250929,fnqcj,0,4790,265,NA,4,6,5,8,7,8,7,6,4,8,2,9,6,2,6,9,8,7,5,8,3,7,3,11,2,2,3,3,2,5,10,4,9,5,6,3,6,5,11,2,5,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,2,4,NA,NA,NA,NA,NA,Stabilize trouble spots to balance environmental protection with access while avoiding development escalation from full upgrades.,6
f740ca5b-7315-4eb3-9bec-1fb94c917df0,2025-09-30T12:28:25Z,anthropic,claude-sonnet-4-5-20250929,fnqcj,0,4790,259,NA,4,7,5,8,8,8,9,5,4,7,2,9,6,2,5,9,8,7,6,8,4,8,3,11,2,2,4,3,2,5,9,3,10,6,6,3,6,5,11,2,4,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,4,1,NA,NA,NA,NA,NA,Prioritize environmental protection while allowing limited managed access over development or complete closure,7
49ac8185-211f-4502-8c8b-cb3ece1f890b,2025-09-30T12:28:36Z,anthropic,claude-sonnet-4-5-20250929,fnqcj,0,4790,266,NA,3,7,6,7,7,7,7,4,4,8,2,8,6,2,6,7,8,7,6,9,4,7,4,10,2,3,4,3,3,6,9,4,9,6,6,3,7,5,10,2,5,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,2,4,NA,NA,NA,NA,NA,"Prioritize environmental protection while maintaining limited access, avoiding development escalation from full upgrades or complete closure.",6
360a0527-7983-4139-9977-9da01d71721d,2025-09-30T10:30:52Z,openai,gpt-5,fnqcj,1,4307,4819,NA,1,3,3,3,4,10,9,8,2,10,2,10,3,2,6,8,9,7,10,9,6,4,2,12,1,1,2,2,1,3,11,3,11,6,4,3,7,8,12,1,4,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,2,3,NA,NA,NA,NA,NA,Prioritize minimal fixes and 4WD to protect environment upgrade last closure third,3
6c350a73-a721-49b8-82f9-0b3e2d413e34,2025-09-30T10:32:03Z,openai,gpt-5,fnqcj,1,4310,4688,NA,3,3,8,6,9,10,8,8,2,11,1,10,8,2,5,9,8,8,11,10,6,9,2,12,1,1,2,1,2,4,12,3,12,5,5,6,9,8,12,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,3,5,NA,NA,NA,NA,NA,Prioritize conservation limit access fix hazards avoid sealing long term protection,8
342d3248-1d92-4e5a-923e-83aff40150ad,2025-09-30T10:33:06Z,openai,gpt-5,fnqcj,1,4310,7451,NA,2,3,3,4,11,11,10,4,2,10,1,8,3,2,4,10,10,7,9,9,3,11,2,12,1,1,2,1,1,4,12,2,11,6,4,3,10,7,12,1,4,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,3,2,NA,NA,NA,NA,NA,Stabilize 4WD for safety and reef protection bitumen next maintain 4WD no dirt road or closure,8
f6859b5c-63dc-48e4-9bd2-64e4f7a14ed2,2025-09-30T10:35:19Z,openai,gpt-5,fnqcj,1,4307,6485,NA,3,2,2,4,2,10,10,7,2,11,1,10,3,1,4,8,9,7,9,9,3,2,2,12,1,1,1,1,1,3,11,2,11,6,4,3,4,4,12,1,3,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,3,1,NA,NA,NA,NA,NA,Support closing and rehabilitation to protect Daintree oppose upgrades keep limited 4WD access,2
a4319042-82a6-4d91-81e7-e9467673c3ae,2025-09-30T10:36:36Z,openai,gpt-5,fnqcj,1,4310,7188,NA,3,2,3,7,8,10,10,7,2,11,2,11,3,1,4,8,8,7,10,9,4,7,1,12,1,1,2,1,1,3,11,2,11,6,4,3,6,6,12,1,3,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,2,3,NA,NA,NA,NA,NA,Prefer stabilizing spots and 4WD access to curb impacts oppose bitumen upgrades,3
